fighter,punchType,powerpunchType,punchPlacement,punchLanded,partOfCombo,counterpunch,knockdownOrKO,round,timestamp,comment
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:58,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:57,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:56,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:55,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:52,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,1,02:48,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:45,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:45,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:43,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:43,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:43,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:41,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:41,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:39,
Joshua,jab,NA,body,landed,soloPunch,no,no,1,02:38,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:36,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:36,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:36,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:36,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,1,02:27,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:21,
Usyk,powerpunch,cross,head,landed,comboPunch,no,no,1,02:21,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:21,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:19,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:16,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:16,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:16,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:16,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,02:16,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:15,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,02:15,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,02:13,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,02:13,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:12,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:12,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:10,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:09,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:07,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:07,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:01,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:59,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:59,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:54,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:54,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:54,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:54,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:52,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:51,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:49:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:43:00 AM,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,01:41:00 AM,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,01:41:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:39:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:37:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:37:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:37:00 AM,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,01:37:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:32:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:32:00 AM,
Joshua,jab,NA,body,landed,soloPunch,no,no,1,01:31:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:28:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:28:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:26:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:26:00 AM,
Joshua,jab,NA,body,landed,soloPunch,no,no,1,01:25:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:23:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:23:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:22:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:22:00 AM,
Usyk,powerpunch,cross,head,missed,soloPunch,no,no,1,01:10:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:07:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:07:00 AM,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,1,01:07:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:03:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:03:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:02:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:02:00 AM,
Usyk,powerpunch,hook,body,landed,comboPunch,no,no,1,01:02:00 AM,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,01:00:00 AM,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,12:58:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,12:58:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,12:55:00 AM,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,12:55:00 AM,
Usyk,powerpunch,cross,head,missed,comboPunch,no,no,1,12:55:00 AM,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:54,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,00:51,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,00:51,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:48,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:48,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:47,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,1,00:47,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:44,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:44,
Usyk,powerpunch,hook,head,missed,soloPunch,no,no,1,00:42,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,00:41,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:41,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:40,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:40,
Usyk,powerpunch,cross,body,landed,soloPunch,no,no,1,00:39,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:38,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,00:38,
Joshua,jab,NA,body,landed,comboPunch,no,no,1,00:34,
Usyk,powerpunch,hook,head,landed,soloPunch,no,no,1,00:34,
Joshua,powerpunch,hook,body,landed,comboPunch,no,no,1,00:33,
Joshua,powerpunch,hook,head,missed,comboPunch,no,no,1,00:33,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:29,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:29,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:28,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:28,
Usyk,powerpunch,cross,body,landed,soloPunch,no,no,1,00:28,
Joshua,hold,NA,NA,NA,NA,no,no,1,00:27,
Joshua,powerpunch,uppercut,head,missed,soloPunch,no,no,1,00:27,
Joshua,powerpunch,uppercut,head,missed,soloPunch,no,no,1,00:27,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:17,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:15,
Usyk,powerpunch,cross,head,missed,comboPunch,no,no,1,00:15,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:14,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:11,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:11,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,1,00:11,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:10,
Usyk,powerpunch,cross,head,missed,comboPunch,no,no,1,00:10,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:09,
Joshua,powerpunch,cross,body,missed,soloPunch,no,no,1,00:07,
Usyk,powerpunch,hook,head,missed,soloPunch,no,no,1,00:06,
Joshua,jab,NA,head,landed,soloPunch,no,no,2,02:58,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:56,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:55,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:55,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,2,02:55,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:51,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:49,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:48,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:41,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,02:39,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:37,
Usyk,powerpunch,cross,body,missed,soloPunch,no,no,2,02:37,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:36,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:36,
Joshua,powerpunch,cross,body,missed,soloPunch,no,no,2,02:35,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,02:33,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:32,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:29,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:24,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:24,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:22,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:20,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,02:19,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:16,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:16,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:15,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,02:11,
Joshua,powerpunch,cross,head,missed,soloPunch,no,no,2,02:11,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,02:09,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:08,
Usyk,powerpunch,cross,body,missed,comboPunch,no,no,2,02:08,
Usyk,jab,NA,body,missed,comboPunch,no,no,2,02:07,
Joshua,jab,NA,body,landed,soloPunch,no,no,2,02:03,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:00,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:00,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:00,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,02:00,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,01:58,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:58,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:57,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:55,
Joshua,powerpunch,hook,body,landed,soloPunch,no,no,2,01:55,
Joshua,jab,NA,head,landed,soloPunch,no,no,2,01:52,
Joshua,powerpunch,cross,head,landed,soloPunch,no,no,2,01:51,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:47,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:47,
Usyk,powerpunch,cross,head,missed,comboPunch,no,no,2,01:47,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,01:45,
Usyk,jab,NA,head,landed,soloPunch,no,no,2,01:44,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:40,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,01:40,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:37,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:37,
Joshua,powerpunch,hook,head,landed,comboPunch,no,no,2,01:36,
Joshua,powerpunch,cross,body,missed,comboPunch,no,no,2,01:35,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:32,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:29,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:28,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,01:28,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:24,
Usyk,jab,NA,head,landed,soloPunch,no,no,2,01:24,
Usyk,powerpunch,cross,head,landed,soloPunch,no,no,2,01:22,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:21,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:19,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:17,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:15,
Joshua,powerpunch,uppercut,body,landed,comboPunch,no,no,2,01:15,
Joshua,powerpunch,hook,head,landed,comboPunch,no,no,2,01:14,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,01:09,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:06,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,01:03,
Usyk,jab,NA,head,landed,soloPunch,no,no,2,01:03,
Usyk,jab,NA,head,landed,soloPunch,no,no,2,01:02,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,01:00,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,01:00,
Joshua,powerpunch,cross,head,missed,soloPunch,no,no,2,00:58,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:57,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:56,
Joshua,powerpunch,uppercut,body,landed,soloPunch,no,no,2,00:55,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,00:53,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:50,
Joshua,jab,NA,body,landed,soloPunch,no,no,2,00:48,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,00:47,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,00:44,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:43,
Usyk,jab,NA,body,missed,soloPunch,no,no,2,00:39,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:37,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:36,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:36,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:34,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:33,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,00:33,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,00:32,
Joshua,powerpunch,cross,body,landed,comboPunch,no,no,2,00:32,
Usyk,powerpunch,hook,head,missed,soloPunch,no,no,2,00:31,
Joshua,jab,NA,head,missed,soloPunch,no,no,2,00:28,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:24,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,2,00:24,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:23,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,00:23,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,00:22,
Joshua,jab,NA,head,landed,comboPunch,no,no,2,00:21,
Joshua,jab,NA,head,missed,comboPunch,no,no,2,00:21,
Joshua,jab,NA,head,landed,soloPunch,no,no,2,00:16,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:13,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:13,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:13,
Joshua,powerpunch,cross,head,landed,soloPunch,no,no,2,00:12,
Usyk,jab,NA,head,missed,soloPunch,no,no,2,00:10,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:07,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:07,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,2,00:07,
Usyk,powerpunch,hook,head,landed,comboPunch,no,no,2,00:07,
Joshua,powerpunch,hook,body,landed,soloPunch,counterhit,no,2,00:06,
Joshua,jab,NA,head,landed,soloPunch,no,no,2,00:04,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:03,
Usyk,jab,NA,head,missed,comboPunch,no,no,2,00:03,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,02:56,
Usyk,powerpunch,cross,body,missed,comboPunch,no,no,3,02:56,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:55,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:54,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,02:49,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,02:49,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:46,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:46,
Usyk,jab,NA,head,landed,soloPunch,no,no,3,02:45,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:43,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:42,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:39,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:38,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:38,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:35,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:33,
Joshua,jab,NA,head,missed,comboPunch,no,no,3,02:29,
Joshua,jab,NA,head,missed,comboPunch,no,no,3,02:29,
Usyk,powerpunch,cross,body,landed,soloPunch,counterhit,no,3,02:29,
Joshua,powerpunch,hook,head,missed,soloPunch,counterhit,no,3,02:29,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:25,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,02:24,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,02:24,
Usyk,powerpunch,cross,head,landed,comboPunch,no,no,3,02:24,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:23,
Joshua,powerpunch,uppercut,body,missed,soloPunch,counterhit,no,3,02:23,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:19,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:17,
Joshua,powerpunch,hook,head,landed,comboPunch,no,no,3,02:17,
Joshua,powerpunch,hook,head,landed,comboPunch,no,no,3,02:17,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:15,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:12,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:09,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:09,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,02:03,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,02:01,
Usyk,powerpunch,cross,head,missed,soloPunch,no,no,3,02:01,
Usyk,jab,NA,head,landed,soloPunch,no,no,3,01:59,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:56,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:56,
Usyk,jab,NA,body,missed,soloPunch,no,no,3,01:53,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:52,
Joshua,jab,NA,body,missed,comboPunch,no,no,3,01:51,
Joshua,jab,NA,head,missed,comboPunch,no,no,3,01:51,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:47,
Usyk,jab,NA,head,landed,comboPunch,no,no,3,01:47,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,3,01:47,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,01:43,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:41,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:39,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:39,
Joshua,jab,NA,head,landed,soloPunch,no,no,3,01:38,
Usyk,jab,NA,head,landed,soloPunch,no,no,3,01:35,
Joshua,powerpunch,cross,head,missed,soloPunch,counterhit,no,3,01:35,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:33,
Usyk,jab,NA,head,landed,comboPunch,no,no,3,01:33,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,01:32,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:30,
Usyk,powerpunch,cross,head,landed,comboPunch,no,no,3,01:30,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:30,
Usyk,powerpunch,cross,head,missed,comboPunch,no,no,3,01:30,
Joshua,jab,NA,head,landed,soloPunch,no,no,3,01:25,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,01:24,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:24,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,01:21,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:19,
Usyk,jab,NA,head,missed,comboPunch,no,no,3,01:18,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:18,
Usyk,powerpunch,cross,body,landed,comboPunch,no,no,3,01:18,
Joshua,jab,NA,head,missed,soloPunch,no,no,3,01:08,
Usyk,jab,NA,head,missed,soloPunch,no,no,3,01:06,
Joshua,powerpunch,uppercut,body,landed,soloPunch,no,no,3,01:06,
Joshua,hold,NA,NA,NA,NA,no,no,3,01:04,
